"long","lat","country"
-92.045,32.548,"usa"
-92.279,34.748,"usa"
-83.044,39.987,"usa"
-74.202,40.722,"usa"
-92.373,35.083,"usa"
-117.378,47.657,"usa"
-77.366,38.947,"usa"
-83.044,39.987,"usa"
-95.333,29.619,"usa"
-80.236,25.726,"usa"
-122.335,47.612,"usa"
-122.436,37.786,"usa"
-98.528,29.421,"usa"
-77.29,38.522,"usa"
-87.625,41.878,"usa"
-73.399,41.099,"usa"
-76.493,38.978,"usa"
-96.785,32.995,"usa"
-119.835,34.433,"usa"
-73.942,40.817,"usa"
-83.044,39.987,"usa"
-74.202,40.722,"usa"
-86.045,39.783,"usa"
-76.608,39.298,"usa"
-105.015,39.962,"usa"
-77.18,38.887,"usa"
-71.085,42.364,"usa"
-122.335,47.612,"usa"
-105.015,39.962,"usa"
-71.085,42.364,"usa"
-73.252,41.218,"usa"
-83.044,39.987,"usa"
-77.003,38.982,"usa"
-77.518,38.908,"usa"
-83.044,39.987,"usa"
-86.045,39.783,"usa"
-80.057,26.617,"usa"
-87.793,42.043,"usa"
-84.552,33.97,"usa"
-74.202,40.722,"usa"
-105.015,39.962,"usa"
-77.009,40.214,"usa"
-95.333,29.619,"usa"
-122.335,47.612,"usa"
-118.239,34.063,"usa"
-89.528,44.489,"usa"
-122.168,47.615,"usa"
-84.322,33.827,"usa"
-74.111,40.396,"usa"
-93.32,45.165,"usa"
-78.95,36.017,"usa"
-121.856,37.217,"usa"
-100.757,46.795,"usa"
-86.045,39.783,"usa"
-83.044,39.987,"usa"
-77.033,38.899,"usa"
-97.088,32.758,"usa"
-117.03,32.809,"usa"
-117.03,32.809,"usa"
-84.322,33.827,"usa"
-83.044,39.987,"usa"
-105.015,39.962,"usa"
-121.965,37.527,"usa"
-83.044,39.987,"usa"
-96.785,32.995,"usa"
-121.466,38.576,"usa"
-94.402,39.009,"usa"
-83.044,39.987,"usa"
-90.322,32.341,"usa"
-83.044,39.987,"usa"
-76.608,39.298,"usa"
-73.252,41.218,"usa"
-83.293,42.471,"usa"
-122.335,47.612,"usa"
-83.044,39.987,"usa"
-78.95,36.017,"usa"
-111.876,40.784,"usa"
-86.045,39.783,"usa"
-118.239,34.063,"usa"
-117.03,32.809,"usa"
-77.461,39.018,"usa"
-118.239,34.063,"usa"
-118.239,34.063,"usa"
-110.385,31.593,"usa"
-80.236,25.726,"usa"
-83.044,39.987,"usa"
-118.846,34.152,"usa"
-83.044,39.987,"usa"
-84.322,33.827,"usa"
-77.518,38.908,"usa"
-83.044,39.987,"usa"
-111.693,40.221,"usa"
-121.953,37.353,"usa"
-95.333,29.619,"usa"
-86.045,39.783,"usa"
-78.697,35.804,"usa"
-73.942,40.817,"usa"
-74.202,40.722,"usa"
-84.322,33.827,"usa"
-84.322,33.827,"usa"
-118.239,34.063,"usa"
-73.252,41.218,"usa"
-74.659,40.349,"usa"
-73.942,40.817,"usa"
-83.044,39.987,"usa"
-75.746,39.605,"usa"
-83.044,39.987,"usa"
-75.694,39.679,"usa"
-75.472,40.582,"usa"
-77.033,38.899,"usa"
-77.033,38.899,"usa"
-83.036,42.33,"usa"
-95.333,29.619,"usa"
-74.286,40.557,"usa"
-83.044,39.987,"usa"
-121.856,37.217,"usa"
-123.059,48.069,"usa"
-86.045,39.783,"usa"
